CatIndex	ProdIndex
000001	2153.007
000001	2153.006
000001	2153.005
000001	2153.009
000001	2123.005
000001	2123.004
000001	2123.002
000001	2123.001
000001	2123.003
000001	1643.001
000001	1643.078
000001	1555.067
000001	1664.004
000001	2229.005
000001	2229.010
000001	2223.011
000001	2223.010
000001	2229.009
000001	2229.008
000001	2229.004
000001	2229.003
000001	2223.012
000001	2229.007
000001	2013.009
000001	2013.008
000001	2011.059
000001	2013.007
000001	2011.052
000001	2013.006
000001	2013.005
000001	1591.151
000001	1542.035
000001	1523.043
000001	1523.042
000001	1135.000
000001	3033.000
000001	3025.010
000001	3025.007
000001	3023.012
000001	3023.011
000001	3023.010
000001	3021.017
000001	3021.018
000001	3233.003
000001	3233.002
000001	3233.000
000001	3233.001
000001	3231.002
000001	3231.001
000001	3231.000
000001	3365.001
000001	3365.000
000001	3365.003
000001	3365.004
000001	3365.007
000001	3365.006
000001	3365.008
000001	3365.005
000001	3029.021
000001	3029.010
000001	3029.016
000001	3029.013
000001	3029.011
000001	3029.018
000001	3029.019
000001	3029.012
000001	3029.017
000001	3029.009
000001	3029.008
000001	3029.005
000001	3029.004
000001	3021.019
000001	3029.007
000001	3029.006
000001	4051.032
000001	4051.031
000001	4051.030
000001	4051.029
000001	4051.028
000001	4051.027
000001	4051.023
000001	4051.020
000001	4405.024
000001	1131.002
000001	2229.006
000001	4043.027
000001	80555073
000001	80555072
000001	80555071
000001	80555147
000001	80555144
000001	80555143
000001	80555140
000001	80555142
000001	80555141
000001	80555145
000001	80555137
000001	80555135
000001	80555133
000001	80555131
000001	80555129
000001	80555128
000001	80555125
000001	80555124
000001	80555122
000001	80555121
000001	80555120
000001	80555119
000001	80555118
000001	80555116
000001	80555117
000001	3027.015
000001	3521.035
000001	5113.151
000001	7415.002
000001	7415.000
000001	7355.002
000001	7355.001
000001	7245.000
000001	7195.003
000001	7195.001
000001	7135.001
000001	7135.005
000001	7055.002
000001	7055.001
000001	7085.002
000001	7055.000
000001	1569.022
000001	1561.135
000001	1561.130
000001	1569.019
000001	3363.041
000001	3363.040
000001	3363.022
000001	3363.021
000001	3363.023
000001	3363.024
000001	3363.020
000001	3363.027
000001	3363.026
000001	3363.029
000001	3363.028
000001	3363.025
000001	3363.012
000001	3363.011
000001	3363.013
000001	3363.014
000001	3363.010
000001	3363.017
000001	3363.016
000001	3363.019
000001	3363.018
000001	3363.015
000001	3363.032
000001	3363.031
000001	3363.033
000001	3363.034
000001	3363.030
000001	3363.037
000001	3363.036
000001	3363.039
000001	3363.038
000001	3363.035
000001	3013.022
000001	3013.021
000001	3013.023
000001	3013.024
000001	3013.020
000001	3013.027
000001	3013.026
000001	3013.029
000001	3013.028
000001	3013.025
000001	3013.012
000001	3013.011
000001	3013.013
000001	3013.014
000001	3013.010
000001	3013.017
000001	3013.016
000001	3013.019
000001	3013.018
000001	3013.015
000001	3013.002
000001	3013.001
000001	3013.003
000001	3013.004
000001	3013.000
000001	3013.007
000001	3013.006
000001	3013.009
000001	3013.008
000001	3013.005
000001	3743.032
000001	3743.031
000001	3743.033
000001	3743.034
000001	3743.030
000001	3743.037
000001	3743.036
000001	3743.039
000001	3743.038
000001	3743.035
000001	3743.022
000001	3743.021
000001	3743.023
000001	3743.024
000001	3743.020
000001	3743.027
000001	3743.026
000001	3743.029
000001	3743.028
000001	3743.025
000001	3743.012
000001	3743.011
000001	3743.013
000001	3743.014
000001	3743.010
000001	3743.017
000001	3743.016
000001	3743.019
000001	3743.018
000001	3743.015
000001	3743.041
000001	3743.040
000001	3513.012
000001	3513.011
000001	3513.013
000001	3513.014
000001	3513.010
000001	3513.017
000001	3513.016
000001	3513.019
000001	3513.018
000001	3513.015
000001	4013.022
000001	4013.021
000001	4013.023
000001	4013.024
000001	4013.020
000001	4013.027
000001	4013.026
000001	4013.029
000001	4013.028
000001	4013.025
000001	4013.033
000001	4013.032
000001	4013.012
000001	4013.011
000001	4013.013
000001	4013.014
000001	4013.010
000001	4013.017
000001	4013.016
000001	4013.019
000001	4013.018
000001	4013.015
000001	4013.031
000001	4013.030
000001	4013.002
000001	4013.001
000001	4013.003
000001	4013.004
000001	4013.000
000001	4013.007
000001	4013.006
000001	4013.009
000001	4013.008
000001	4013.005
000001	4403.062
000001	4403.061
000001	4403.063
000001	4403.064
000001	4403.060
000001	4403.067
000001	4403.066
000001	4403.069
000001	4403.068
000001	4403.065
000001	4403.052
000001	4403.051
000001	4403.053
000001	4403.054
000001	4403.050
000001	4403.057
000001	4403.056
000001	4403.059
000001	4403.058
000001	4403.055
000001	4403.043
000001	4403.042
000001	4403.040
000001	4403.044
000001	4403.041
000001	4403.047
000001	4403.046
000001	4403.049
000001	4403.048
000001	4403.045
000001	4403.033
000001	4403.032
000001	4403.030
000001	4403.034
000001	4403.031
000001	4403.037
000001	4403.036
000001	4403.039
000001	4403.038
000001	4403.035
000001	4403.071
000001	1551.301
000001	1551.305
000001	1551.304
000001	1551.307
000001	1551.302
000001	1551.306
000001	3011.023
000001	3011.022
000001	3011.020
000001	3011.021
000001	3011.012
000001	3011.011
000001	3011.013
000001	3011.014
000001	3011.017
000001	3011.016
000001	3011.010
000001	3011.018
000001	3011.015
000001	3361.041
000001	3361.040
000001	3361.033
000001	3361.032
000001	3361.030
000001	3361.034
000001	3361.031
000001	3361.037
000001	3361.036
000001	3361.039
000001	3361.038
